
Version        Name                                                                                                           Vendor                                  InstallState IdentifyingNumber                     
16.24.26212    Microsoft .NET Core Host FX Resolver - 2.0.6 (x64)                                                             Microsoft Corporation                              5 {AA6880B4-C4C2-406A-BFB9-4E1DE17A8552}
16.28.26407    Microsoft .NET Core Host FX Resolver - 2.0.7 (x64)                                                             Microsoft Corporation                              5 {2BB77856-A486-4C37-B9F3-3FA12838880C}
16.36.26615    Microsoft .NET Core Host FX Resolver - 2.0.9 (x64)                                                             Microsoft Corporation                              5 {5ABDD743-82EB-444C-913F-F2BC033AEAE6}
16.64.26515    Microsoft .NET Core Host FX Resolver - 2.1.0 (x64)                                                             Microsoft Corporation                              5 {6F7ED71E-7171-4FD8-A3AB-D5EF6141E0D4}
16.68.26606    Microsoft .NET Core Host FX Resolver - 2.1.1 (x64)                                                             Microsoft Corporation                              5 {91AB97C2-FA5F-42EB-AB4F-92AADCFF928E}
16.112.27818   Microsoft .NET Core Host FX Resolver - 2.1.12 (x64)                                                            Microsoft Corporation                              5 {FC40D86D-520A-40E0-BE46-22CF343A54F1}
16.72.26629    Microsoft .NET Core Host FX Resolver - 2.1.2 (x64)                                                             Microsoft Corporation                              5 {AA8DFC6C-7111-4FDC-8F9B-75058D3274BC}
16.76.26725    Microsoft .NET Core Host FX Resolver - 2.1.3 (x64)                                                             Microsoft Corporation                              5 {4EA65D26-6963-4BDD-BC31-F755048D5807}
16.80.26814    Microsoft .NET Core Host FX Resolver - 2.1.4 (x64)                                                             Microsoft Corporation                              5 {B815BEEC-678A-49B7-814D-51C5E4CF1380}
16.84.26919    Microsoft .NET Core Host FX Resolver - 2.1.5 (x64)                                                             Microsoft Corporation                              5 {7881C9DD-4357-4E3C-BE36-AFBFF26E69C4}
16.88.27019    Microsoft .NET Core Host FX Resolver - 2.1.6 (x64)                                                             Microsoft Corporation                              5 {09E18595-3DF3-4EA3-90C5-B15FCC49302F}
16.92.27130    Microsoft .NET Core Host FX Resolver - 2.1.7 (x64)                                                             Microsoft Corporation                              5 {00D7C76E-B036-4DF5-AA89-D36A3D494BC5}
16.100.27415   Microsoft .NET Core Host FX Resolver - 2.1.9 (x64)                                                             Microsoft Corporation                              5 {9E53EC92-B814-4D0F-9E95-E92F02109B0A}
16.128.27110   Microsoft .NET Core Host FX Resolver - 2.2.0 (x64)                                                             Microsoft Corporation                              5 {DC14DC03-BD9F-4B34-9788-27CFA912E559}
16.0.25521     Microsoft .NET Core Runtime - 2.0.0 (x64)                                                                      Microsoft Corporation                              5 {BE54D79A-4E7F-4F5D-AB22-9CD46397F2F3}
16.0.25521     Microsoft .NET Core Runtime - 2.0.0 (x86)                                                                      Microsoft Corporation                              5 {45EC6F59-7976-4EE5-99A9-851D9BB8DE84}
16.12.25816    Microsoft .NET Core Runtime - 2.0.3 (x64)                                                                      Microsoft Corporation                              5 {F4AD258A-97CA-4AEA-BA75-E9CD9344D656}
16.20.26021    Microsoft .NET Core Runtime - 2.0.5 (x64)                                                                      Microsoft Corporation                              5 {77312BF7-5C28-4DF8-A70E-5CE0FC8DC238}
16.24.26212    Microsoft .NET Core Runtime - 2.0.6 (x64)                                                                      Microsoft Corporation                              5 {D4927218-8080-49B4-9660-07594F1D7C72}
16.28.26407    Microsoft .NET Core Runtime - 2.0.7 (x64)                                                                      Microsoft Corporation                              5 {59F7377C-012A-4D30-A658-3C3B97EBEBE5}
16.36.26615    Microsoft .NET Core Runtime - 2.0.9 (x64)                                                                      Microsoft Corporation                              5 {A75E492B-1D84-4E86-BDCA-077B4C536B6D}
16.64.26515    Microsoft .NET Core Runtime - 2.1.0 (x64)                                                                      Microsoft Corporation                              5 {F67E683F-7EDA-4DDB-B695-76663D9A6E19}
