
Version         Name                                                                          Vendor                                  InstallState IdentifyingNumber                     
10.1.18362.1    SDK Debuggers ARM                                                             Microsoft Corporation                              5 {82E6BEFF-C8FB-1B97-3026-15C48C8FF960}
15.0.26501      sptools_Microsoft.VisualStudio.OfficeDeveloperTools.Msi                       Microsoft Corporation                              5 {72BA31CD-9667-422B-A8A4-65C248E06222}
16.0.28030      sptools_Microsoft.VisualStudio.Vsto.Msi                                       Microsoft Corporation                              5 {F8AA44A5-5B1F-4802-9B7B-3B6373AC51FB}
16.0.28030      sptools_Microsoft.VisualStudio.Vsto.Msi.Resources                             Microsoft Corporation                              5 {3CF6EEAF-072E-47EB-8065-B628379449D3}
16.0.28030      sptools_Microsoft.VisualStudio.Vsto.Msi.x64                                   Microsoft Corporation                              5 {D629D35F-A26E-4CF7-A512-3C890257A790}
14.0.1000.169   SQL Server 2017 Batch Parser                                                  Microsoft Corporation                              5 {2C6E8311-28BD-4615-9545-6E39E8E83A4B}
14.0.1000.169   SQL Server 2017 Common Files                                                  Microsoft Corporation                              5 {9D1C0509-D490-4E9E-ACF5-A73E5C53742D}
14.0.1000.169   SQL Server 2017 Common Files                                                  Microsoft Corporation                              5 {B777C4C0-A1CD-4AB9-99B1-AD5FBED6F8E5}
14.0.1000.169   SQL Server 2017 Connection Info                                               Microsoft Corporation                              5 {A9A443F5-56E1-4FC6-937C-5F481345A843}
14.0.1000.169   SQL Server 2017 Connection Info                                               Microsoft Corporation                              5 {89A7644F-E056-4EC1-BFDE-9D1A531D6855}
14.0.1000.169   SQL Server 2017 Database Engine Services                                      Microsoft Corporation                              5 {28EEF6BA-A23A-42D2-86BA-A6BEE723B969}
14.0.1000.169   SQL Server 2017 Database Engine Services                                      Microsoft Corporation                              5 {DED314CA-0EFE-4593-9D66-EF75E5289A4C}
14.0.1000.169   SQL Server 2017 Database Engine Shared                                        Microsoft Corporation                              5 {0E22DBB4-691B-400C-B52D-8DFE8EC421AA}
14.0.1000.169   SQL Server 2017 Database Engine Shared                                        Microsoft Corporation                              5 {793F1C1E-5C83-4E33-A29B-6EAA7C1E791C}
14.0.1000.169   SQL Server 2017 DMF                                                           Microsoft Corporation                              5 {D7D28BBF-3B0E-43F0-A457-331F1CD9E9EB}
14.0.1000.169   SQL Server 2017 DMF                                                           Microsoft Corporation                              5 {B9998A13-5563-496C-B95E-597FFC70B670}
14.0.1000.169   SQL Server 2017 Full text search                                              Microsoft Corporation                              5 {C37AD300-12CF-4911-9019-A05D66055EB4}
14.0.1000.169   SQL Server 2017 Shared Management Objects                                     Microsoft Corporation                              5 {6CBBF624-696C-499E-948D-ADBAFFA2F548}
